1978	-0.12	908	908	0	0
1979	0.02	891	891	0	0
1980	0.1	879	879	0	0
1981	0.45	826	826	0	0
1982	-0.14	842	842	0	0
1983	0.19	821	821	0	0
1984	-0.07	774	774	0	0
1985	-0.2	775	775	0	0
1986	0.1	770	770	0	0
1987	0.36	764	764	0	0
1988	0.37	765	765	0	0
1989	0.22	754	754	0	0
1990	0.5	601	601	0	0
1991	0.4	374	374	0	0
1992	0.08	364	364	0	0
1993	-0.04	357	357	0	0
1994	0.38	341	341	0	0
1995	0.47	327	327	0	0
1996	0.09	325	325	0	0
1997	0.46	346	346	0	0
1998	1.09	330	330	0	0
1999	0.89	336	336	0	0
2000	0.57	323	323	0	0
2001	0.85	273	273	0	0
2002	0.69	299	299	0	0
2003	0.75	299	299	0	0
2004	0.66	288	288	0	0
2005	0.96	295	295	0	0
2006	1.18	310	310	0	0
2007	1.09	312	312	0	0
2008	0.66	309	309	0	0
2009	0.63	276	276	0	0
2010	1.04	297	297	0	0
2011	0.9	293	293	0	0
2012	1.0	282	282	0	0
2013	0.65	281	281	0	0
2014	0.77	293	293	0	0
2015	1.3	261	261	0	0
2016	1.51	293	293	0	0
2017	1.33	281	281	0	0
2018	1.11	280	280	0	0
